Name,min_life_expectancy,max_life_expectancy,max_height,max_weight,min_height,min_weight,good_with_children,good_with_other_vehicles,maintenance_cost,comfort_level,safety_rating,fuel_efficiency,good_for_city_use,good_for_long_drives,speed_rating,energy_rating,technology_features
Sedan,8,15,1.5,1800,1.2,1300,4,5,3,4,4,15,5,4,3,4
SUV,10,20,1.8,2500,1.5,1800,5,4,4,5,5,12,4,5,4,5
Electric Car,10,18,1.6,2000,1.4,1500,5,5,2,5,5,25,5,5,5,5
Sports Car,6,12,1.2,1400,1.0,1100,3,2,5,4,5,8,2,3,5,4
Pickup Truck,12,25,1.9,3500,1.6,2500,4,3,4,4,3,10,3,5,3,4
Motorcycle,5,15,1.0,300,0.9,200,2,3,1,3,2,20,1,1,4,5
Van,8,18,1.8,2200,1.6,1800,5,4,3,4,4,10,5,4,3,4
Hatchback,7,14,1.5,1500,1.3,1100,4,4,2,3,3,18,5,3,3,3
Convertible,6,12,1.3,1200,1.0,1000,2,2,5,3,4,12,3,2,4,4
Crossover,9,20,1.7,2300,1.4,1700,4,4,3,4,4,14,4,4,4,4
